time;_state_;in;indisc;inerr;innucast;inucast;out;outdisc;outerr;outnucast;outqlen;outucast
1630845000;1,0000000000e+02;1,1893369318e+04;1,9778041333e-01;0,0000000000e+00;5,5732181000e-01;2,3343894147e+01;9,1489590417e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8553968923e+01
1630846800;1,0000000000e+02;1,2012803216e+04;1,9718732333e-01;0,0000000000e+00;5,5815559000e-01;2,3564002697e+01;9,1536684480e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8606616003e+01
1630848600;1,0000000000e+02;1,1885908212e+04;1,9710772000e-01;0,0000000000e+00;5,5643536667e-01;2,3398368845e+01;9,1481498671e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8541088582e+01
1630850400;1,0000000000e+02;1,2045487541e+04;1,9780027500e-01;0,0000000000e+00;5,5726372500e-01;2,3610724852e+01;9,1708594335e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8738822783e+01
1630852200;1,0000000000e+02;1,1902201994e+04;1,9732872833e-01;0,0000000000e+00;5,5718322333e-01;2,3511536388e+01;9,2747432288e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8679384543e+01
1630854000;1,0000000000e+02;1,2090627603e+04;1,9768721333e-01;0,0000000000e+00;5,5783440167e-01;2,3795714325e+01;9,2537917401e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8888582470e+01
1630855800;1,0000000000e+02;1,1949643725e+04;1,9722271167e-01;0,0000000000e+00;5,5767929000e-01;2,3499642208e+01;9,2207246626e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8621228967e+01
1630857600;1,0000000000e+02;1,2069561068e+04;1,9666737000e-01;0,0000000000e+00;5,5675229667e-01;2,3788592103e+01;9,2703612143e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8897967980e+01
1630859400;1,0000000000e+02;1,1950977687e+04;1,9731972000e-01;0,0000000000e+00;5,5726681000e-01;2,3503281455e+01;9,0909044102e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8479946845e+01
1630861200;1,0000000000e+02;1,2077193115e+04;1,9768409500e-01;0,0000000000e+00;5,5710908833e-01;2,3841704808e+01;9,1854944072e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8758129062e+01
1630863000;1,0000000000e+02;1,1910580491e+04;1,9713669167e-01;0,0000000000e+00;5,5767852667e-01;2,3529967172e+01;9,1691966292e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8504468757e+01
1630864800;1,0000000000e+02;1,2099872069e+04;1,9721731167e-01;0,0000000000e+00;5,5758830333e-01;2,3862270977e+01;9,2093747088e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8835846515e+01
1630866600;1,0000000000e+02;1,1997982048e+04;1,9779134833e-01;0,0000000000e+00;5,5726925667e-01;2,3761678122e+01;9,3143835073e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8693656445e+01
1630868400;1,0000000000e+02;1,2518844985e+04;1,9775336667e-01;0,0000000000e+00;5,5669115667e-01;2,5864486910e+01;9,5365148063e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,0403007552e+01
1630870200;1,0000000000e+02;1,5692213903e+04;1,9769266056e-01;0,0000000000e+00;5,5858033000e-01;4,1488662157e+01;1,1795063965e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;3,2844031489e+01
1630872000;1,0000000000e+02;1,2163612530e+04;1,9719630833e-01;0,0000000000e+00;5,5678746000e-01;2,3936453003e+01;9,1992692284e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8829997423e+01
1630873800;1,0000000000e+02;1,1908892243e+04;1,9778043778e-01;0,0000000000e+00;5,5761898500e-01;2,3557034391e+01;9,1801708268e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8578565164e+01
1630875600;1,0000000000e+02;1,2089955360e+04;1,9723354111e-01;0,0000000000e+00;5,5687008333e-01;2,3942814099e+01;9,2674390844e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8918267604e+01
1630877400;1,0000000000e+02;1,1935348327e+04;1,9720477722e-01;0,0000000000e+00;5,5771500833e-01;2,3586287840e+01;9,1674605229e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8568275860e+01
1630879200;1,0000000000e+02;1,2129035075e+04;1,9779672722e-01;0,0000000000e+00;5,5766684556e-01;2,3950315811e+01;9,2520401619e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8916979518e+01
1630881000;1,0000000000e+02;1,1911392668e+04;1,9721226111e-01;0,0000000000e+00;5,5681968333e-01;2,3467846098e+01;9,1687620796e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8484681400e+01
